text,label
"Allergy symptoms, which depend on the substance involved, can affect your airways, sinuses and nasal passages, skin, and digestive system. Allergic reactions can range from mild to severe. In some severe cases, allergies can trigger a life-threatening reaction known as anaphylaxis. Hay fever, also called allergic rhinitis, can cause: Hay fever,  Sneezing Itching of the nose, eyes or roof of the mouth Runny, stuffy nose Watery, red or swollen eyes (conjunctivitis)  A food allergy can cause: A food allergy  Tingling in the mouth Swelling of the lips, tongue, face or throat Hives Anaphylaxis  An insect sting allergy can cause: An insect sting allergy  A large area of swelling (edema) at the sting site Itching or hives all over the body Cough, chest tightness, wheezing or shortness of breath Anaphylaxis  A drug allergy can cause: A drug allergy  Hives Itchy skin Rash Facial swelling Wheezing Anaphylaxis  Atopic dermatitis, an allergic skin condition also called eczema, can cause skin to: Atopic dermatitis,  Itch Redden Flake or peel  Anaphylaxis Some types of allergies, including allergies to foods and insect stings, can trigger a severe reaction known as anaphylaxis. A life-threatening medical emergency, anaphylaxis can cause you to go into shock. Signs and symptoms of anaphylaxis include:  Loss of consciousness A drop in blood pressure Severe shortness of breath Skin rash Lightheadedness A rapid, weak pulse Nausea and vomiting ",Angular Cheilitis
"joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Pregnancy
"vomiting,sunken_eyes,diarrhoea",Oral Cancer
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Specific Learning Disorder (Dyslexia
I have been having a headache for the past few days. It feels like a sharp pain in my temples. I also have chest pain and dizziness.,Rhabdomyolysis
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
Signs and symptoms of gastroparesis include:  Vomiting Nausea Abdominal bloating Abdominal pain A feeling of fullness after eating just a few bites Vomiting undigested food eaten a few hours earlier Acid reflux Changes in blood sugar levels Lack of appetite Weight loss and malnutrition  Many people with gastroparesis don't have any noticeable signs and symptoms.,Oral Thrush
"continuous_sneezing,shivering,watering_from_eyes",Anhedonia
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
"The main sign of low sperm count is the inability to conceive a child. There might be no other obvious signs or symptoms. In some men, an underlying problem such as an inherited chromosomal abnormality, a hormonal imbalance, dilated testicular veins or a condition that blocks the passage of sperm may cause signs and symptoms. Low sperm count symptoms might include:  Problems with sexual function — for example, low sex drive or difficulty maintaining an erection (erectile dysfunction) Pain, swelling or a lump in the testicle area Decreased facial or body hair or other signs of a chromosome or hormone abnormality ",Toxic Synovitis
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Delirium
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"I've been feeling really sick for the past few days. I've had a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. I have a headache and my muscles are sore.",Tuberculosis
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"My skin is really itchy, and it sometimes breaks out into a rash. I also have some weird areas of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules.",Normal Pressure Hydrocephalus
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",Adhd
"I've been having back pain, a cough, and weakness in my arms and legs. My neck hurts, and I've been feeling dizzy and off-balance.",Eczema
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"fatigue,high_fever,breathlessness,family_history,mucoid_sputum",Delirium
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",Adhd
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Sebaceous Hyperplasia
I have a lot of pain in my neck and my muscles feel weak. My joints are swollen and I have a lot of stiffness when I walk. Walking is also very uncomfortable.,Blood Disorders
"Signs and symptoms of lip cancer include:  A flat or slightly raised whitish discoloration of the lip A sore on your lip that won't heal Tingling, pain or numbness of the lips or the skin around the mouth ",Thyroid Disorders
"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.",Blood Disorders
"fatigue,cough,high_fever,breathlessness,mucoid_sputum",Delirium
"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Epididymal Cyst
"continuous_sneezing,shivering,chills,watering_from_eyes",Anhedonia
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
"Symptoms of high blood sugar or low blood sugar usually develop before a diabetic coma. High blood sugar (hyperglycemia) If your blood sugar level is too high, you may have:  Increased thirst Frequent urination Blurred vision Tiredness or weakness Headache Nausea and vomiting Shortness of breath Stomach pain Fruity breath odor A very dry mouth  Low blood sugar (hypoglycemia) If your blood sugar is too low, you may have:  Shakiness Anxiety Tiredness or drowsiness Weakness Sweating Hunger A feeling of tingling on your skin Dizziness or lightheadedness Headache Difficulty speaking Blurry vision Confusion Loss of consciousness  Some people, especially those who've had diabetes for a long time, develop a condition known as hypoglycemia unawareness. That means they don't have warning symptoms that signal a drop in blood sugar. If you have any symptoms of high or low blood sugar, test your blood sugar right away. Based on the test results, follow your diabetes treatment. If you don't start to feel better quickly, or you start to feel worse, get medical care right away.",Hypothyroidism
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
The symptoms of cyclic vomiting syndrome often begin in the morning. Signs and symptoms include:  Three or more recurrent episodes of vomiting that start around the same time and last for a similar length of time Varying intervals of generally normal health without nausea between episodes Intense nausea and sweating before an episode starts  Other signs and symptoms during a vomiting episode may include:  Abdominal pain Diarrhea Dizziness Sensitivity to light Headache Retching or gagging ,Hemorrhoids
"vomiting,headache,nausea,spinning_movements,unsteadiness",Adhd
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
"vomiting,breathlessness,chest_pain",Pertussis
"I have a fever and a rash on my face. The rash is red and painful, and it's oozing yellow fluid.",Sebaceous Hyperplasia
"I have a rash that started out as small red sores near my nose and neck. The sores have gotten more painful and inflamed in recent days, and I have a high temperature.",Sebaceous Hyperplasia
I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.,Eczema
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"vomiting,headache,spinning_movements,loss_of_balance,unsteadiness",Adhd
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",Adhd
I'm really tired and weak. I can barely keep my eyes open. I have a fever and I don't feel like eating anything. I think I've lost my appetite.,Epididymal Cyst
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",Normal Pressure Hydrocephalus
"constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Rheumatoid Arthritis
"I have been developing sores on my face and nose area for a few days now. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin. I am also feeling a little bit feverish and have a headache.",Sebaceous Hyperplasia
"vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Pregnancy
I have a rash all over my body. It's really itchy and I feel really sick.,Epididymal Cyst
"Common symptoms of BPH include: BPH  Frequent or urgent need to pee, also called urination. Peeing more often at night. Trouble starting to pee. Weak urine stream, or a stream that stops and starts. Dribbling at the end of urination. Not being able to fully empty the bladder.  Less common symptoms include:  Urinary tract infection. Not being able to pee. Blood in the urine.  The symptoms of BPH tend to slowly get worse. But sometimes they stay the same or even improve over time. BPH The size of the prostate doesn't always determine how serious the symptoms are. Some people with slightly enlarged prostates can have major symptoms. Others who have very enlarged prostates can have minor problems. And some people with enlarged prostates don't have any symptoms at all. Other possible causes of urinary symptoms Some other health problems can lead to symptoms that are like those caused by enlarged prostate. These include:  Urinary tract infection. Inflamed prostate. Narrowing of the urethra, the tube that carries urine out of the body. Scarring in the bladder neck due to past surgery. Bladder or kidney stones. Problems with nerves that control the bladder. Cancer of the prostate or bladder.  Some medicines also may lead to symptoms that seem like those caused by BPH. These include:  BPH  Powerful pain-relieving medicines called opioids. Cold and allergy medicines. Older medicines for depression called tricyclic antidepressants. ",Chikungunya
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Specific Learning Disorder (Dyslexia
"Dupuytren contracture gets worse slowly, over years. The condition begins with a firm lump in the palm of the hand. This lump might be a little tender, but usually isn't painful. Over time, the lump can extend into a hard cord under the skin and up into the finger. This cord tightens and pulls the finger toward the palm, sometimes severely. Dupuytren contracture most commonly affects the two fingers farthest from the thumb. The condition often occurs in both hands.",Keratoacanthoma
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
I've been feeling really sick lately. I've been sneezing a lot and my nose is running. My throat is also really scratchy and I've been feeling really tired.,Genetic Factors
"I have a rash all over my body that is very itchy. It is red and bumpy, and there are some darkened spots and a few tiny, nodular breakouts. It has been happening for several days and is getting worse.",Normal Pressure Hydrocephalus
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Posterior Vitreous Detachment
"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain",Osteoporosis (Fracture)
"back_pain,neck_pain,dizziness,loss_of_balance",Eczema
"The severity of fetal alcohol syndrome symptoms varies, with some children experiencing them to a far greater degree than others. Signs and symptoms of fetal alcohol syndrome may include any mix of physical defects, intellectual or cognitive disabilities, and problems functioning and coping with daily life. Physical defects Physical defects may include:  Distinctive facial features, including small eyes, an exceptionally thin upper lip, a short, upturned nose, and a smooth skin surface between the nose and upper lip Deformities of joints, limbs and fingers Slow physical growth before and after birth Vision difficulties or hearing problems Small head circumference and brain size Heart defects and problems with kidneys and bones  Brain and central nervous system problemsProblems with the brain and central nervous system may include:  Poor coordination or balance Intellectual disability, learning disorders and delayed development Poor memory Trouble with attention and with processing information Difficulty with reasoning and problem-solving Difficulty identifying consequences of choices Poor judgment skills Jitteriness or hyperactivity Rapidly changing moods  Social and behavioral issuesProblems in functioning, coping and interacting with others may include:  Difficulty in school Trouble getting along with others Poor social skills Trouble adapting to change or switching from one task to another Problems with behavior and impulse control Poor concept of time Problems staying on task Difficulty planning or working toward a goal  When to see a doctorIf you're pregnant and can't stop drinking, ask your obstetrician, primary care doctor or mental health professional for help. Because early diagnosis may help reduce the risk of long-term problems for children with fetal alcohol syndrome, let your child's doctor know if you drank alcohol while you were pregnant. Don't wait for problems to arise before seeking help. If you have adopted a child or are providing foster care, you may not know if the biological mother drank alcohol while pregnant — and it may not initially occur to you that your child may have fetal alcohol syndrome. However, if your child has problems with learning and behavior, talk with his or her doctor so that the underlying cause might be identified. Request an appointment                                           There is a problem with                                 information submitted for this request. Review/update the                                 information highlighted below and resubmit the form.  From Mayo Clinic to your inbox                          Sign up for free, and stay up to date on research advancements, health tips and current health topics, like COVID-19, plus expertise  on managing health. Click here for an email preview.           Email   ErrorEmail field is required ErrorInclude a valid email address  Learn more about Mayo Clinic’s use of data.  To provide you with the most relevant and helpful information, and understand which                                 information is beneficial, we may combine your email and website usage information with                                 other information we have about you. If you are a Mayo Clinic patient, this could                                 include protected health information. If we combine this information with your protected                                 health information, we will treat all of that information as protected health                                 information and will only use or disclose that information as set forth in our notice of                                 privacy practices. You may opt-out of email communications at any time by clicking on                                 the unsubscribe link in the e-mail.   Subscribe!     Thank you for subscribing!  You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox.    Distinctive facial features, including small eyes, an exceptionally thin upper lip, a short, upturned nose, and a smooth skin surface between the nose and upper lip Deformities of joints, limbs and fingers Slow physical growth before and after birth Vision difficulties or hearing problems Small head circumference and brain size Heart defects and problems with kidneys and bones  Brain and central nervous system problemsProblems with the brain and central nervous system may include:  Poor coordination or balance Intellectual disability, learning disorders and delayed development Poor memory Trouble with attention and with processing information Difficulty with reasoning and problem-solving Difficulty identifying consequences of choices Poor judgment skills Jitteriness or hyperactivity Rapidly changing moods  Social and behavioral issuesProblems in functioning, coping and interacting with others may include:  Difficulty in school Trouble getting along with others Poor social skills Trouble adapting to change or switching from one task to another Problems with behavior and impulse control Poor concept of time Problems staying on task Difficulty planning or working toward a goal  When to see a doctorIf you're pregnant and can't stop drinking, ask your obstetrician, primary care doctor or mental health professional for help. Because early diagnosis may help reduce the risk of long-term problems for children with fetal alcohol syndrome, let your child's doctor know if you drank alcohol while you were pregnant. Don't wait for problems to arise before seeking help. If you have adopted a child or are providing foster care, you may not know if the biological mother drank alcohol while pregnant — and it may not initially occur to you that your child may have fetal alcohol syndrome. However, if your child has problems with learning and behavior, talk with his or her doctor so that the underlying cause might be identified. Request an appointment                                           There is a problem with                                 information submitted for this request. Review/update the                                 information highlighted below and resubmit the form.  From Mayo Clinic to your inbox                          Sign up for free, and stay up to date on research advancements, health tips and current health topics, like COVID-19, plus expertise  on managing health. Click here for an email preview.           Email   ErrorEmail field is required ErrorInclude a valid email address  Learn more about Mayo Clinic’s use of data.  To provide you with the most relevant and helpful information, and understand which                                 information is beneficial, we may combine your email and website usage information with                                 other information we have about you. If you are a Mayo Clinic patient, this could                                 include protected health information. If we combine this information with your protected                                 health information, we will treat all of that information as protected health                                 information and will only use or disclose that information as set forth in our notice of                                 privacy practices. You may opt-out of email communications at any time by clicking on                                 the unsubscribe link in the e-mail.   Subscribe!     Thank you for subscribing!   Distinctive facial features, including small eyes, an exceptionally thin upper lip, a short, upturned nose, and a smooth skin surface between the nose and upper lip Deformities of joints, limbs and fingers Slow physical growth before and after birth Vision difficulties or hearing problems Small head circumference and brain size Heart defects and problems with kidneys and bones  Brain and central nervous system problems Problems with the brain and central nervous system may include:  Poor coordination or balance Intellectual disability, learning disorders and delayed development Poor memory Trouble with attention and with processing information Difficulty with reasoning and problem-solving Difficulty identifying consequences of choices Poor judgment skills Jitteriness or hyperactivity Rapidly changing moods  Social and behavioral issues Problems in functioning, coping and interacting with others may include:  Difficulty in school Trouble getting along with others Poor social skills Trouble adapting to change or switching from one task to another Problems with behavior and impulse control Poor concept of time Problems staying on task Difficulty planning or working toward a goal ",Motor Neuron Disease
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Eczema
"continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
"Cardiogenic shock signs and symptoms include:  Rapid breathing Severe shortness of breath Sudden, rapid heartbeat (tachycardia) Loss of consciousness Weak pulse Low blood pressure (hypotension) Sweating Pale skin Cold hands or feet Urinating less than normal or not at all  Symptoms of a heart attack Because cardiogenic shock usually occurs in people who are having a severe heart attack, it's important to know the signs and symptoms of a heart attack. These include:  Pressure, fullness or a squeezing pain in the center of your chest that lasts for more than a few minutes Pain spreading to your shoulder, one or both of your arms, your back, or even your teeth and jaw Increasing episodes of chest pain Shortness of breath Sweating Lightheadedness or sudden dizziness Nausea and vomiting  Seek medical attention quickly when having these signs or symptoms to decrease your risk of developing cardiogenic shock.",Diarrhea
"acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Pregnancy
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
"vomiting,breathlessness,sweating,chest_pain",Pertussis
"fatigue,cough,high_fever,breathlessness,mucoid_sputum",Delirium
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Specific Learning Disorder (Dyslexia
"I've been having a lot of pain in my neck and back, and my arms and legs are numb. I've also been having problems with my balance and vertigo.",Eczema
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"vomiting,sweating,chest_pain",Pertussis
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Hypogonadism
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"The location and severity of knee pain may vary, depending on the cause of the problem. Signs and symptoms that sometimes accompany knee pain include:  Swelling and stiffness Redness and warmth to the touch Weakness or instability Popping or crunching noises Inability to fully straighten the knee ",Syphilis
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",Schizophrenia (Negative Symptoms)
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Blood Disorders
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances",Vocal Cord Paralysis
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",Normal Pressure Hydrocephalus
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Sebaceous Hyperplasia
"skin_rash,high_fever,blister,yellow_crust_ooze",Sebaceous Hyperplasia
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Hormone-Secreting Tumors
"I've been having back pain, a persistent cough, and weakness in my limbs. I also have problems with vertigo and losing my balance, and my neck hurts.",Eczema
"vomiting,sunken_eyes,dehydration,diarrhoea",Oral Cancer
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
I have trouble focusing and remembering things. I feel like I have brain fog.,Iron Deficiency
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Epididymal Cyst
